Qualifier,Trade.type,Market,Abbreviation
@FT[GV4_TEXT];SWT[IRGCOND];   [PRC_QL2];C[NASDSTATUS];X[GV3_TEXT],,NASDAQ,NASDAQUnknown
@F I[GV4_TEXT];   [IRGCOND];   [PRC_QL2]; [NASDSTATUS];X[GV3_TEXT],,NASDAQ,NASDAQUnknown
@[LSTSALCOND];   [PRC_QL2]; [NASDSTATUS];[GV2_TEXT],,NASDAQ,NASDAQUnknown
@F[LSTSALCOND];MSW[PRC_QL2]; [NASDSTATUS];X[GV2_TEXT],,NASDAQ,NASDAQUnknown2
@  I[GV4_TEXT];ODD[IRGCOND];MSW[PRC_QL2]; [NASDSTATUS];[GV3_TEXT],,NASDAQ,NASDAQUnknown2
@F I[GV4_TEXT];   [IRGCOND];MSW[PRC_QL2]; [NASDSTATUS];X[GV3_TEXT],,NASDAQ,NASDAQUnknown2
@  I[GV4_TEXT];ODD[IRGCOND];   [PRC_QL2]; [NASDSTATUS];[GV3_TEXT],,NASDAQ,NASDAQUnknown2
SWT[IRGCOND];[GV3_FLAG];X[GV3_TEXT];NBL[PRC_QL2];C[NASDSTATUS];@FT[GV4_TEXT],,NASDAQ,NASDAQUnknown3
ODT[IRGCOND];[GV3_FLAG];[GV3_TEXT];NBL[PRC_QL2];C[NASDSTATUS];@ TI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];NBL[PRC_QL2];C[NASDSTATUS];@FTI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
132[IRGCOND];[GV3_FLAG];[GV3_TEXT];NBL[PRC_QL2];C[NASDSTATUS];@ T[GV4_TEXT],,NASDAQ,NASDAQUnknown2
SWT[IRGCOND];[GV3_FLAG];X[GV3_TEXT];NBL[PRC_QL2]; [NASDSTATUS];@FT[GV4_TEXT],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];X[GV2_TEXT];AGX[PRC_QL2]; [NASDSTATUS];@O X[LSTSALCOND];Block Trade[USER],,NASDAQ,NASDAQUnknown2
302[IRGCOND];[GV3_FLAG];[GV3_TEXT];AGX[PRC_QL2]; [NASDSTATUS];@  Q[GV4_TEXT],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];X[GV2_TEXT];MSW[PRC_QL2]; [NASDSTATUS];@F[LSTSALCOND],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];MSW[PRC_QL2]; [NASDSTATUS];@F I[GV4_TEXT],,NASDAQ,NASDAQUnknown2
ODD[IRGCOND];[GV3_FLAG];[GV3_TEXT];MSW[PRC_QL2]; [NASDSTATUS];@  I[GV4_TEXT],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];[GV2_TEXT];   [PRC_QL2]; [NASDSTATUS];@[LSTSALCOND],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@F I[GV4_TEXT],,NASDAQ,NASDAQUnknown2
ODD[IRGCOND];[GV3_FLAG];[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@  I[GV4_TEXT],,NASDAQ,NASDAQUnknown2
324[IRGCOND];[GV3_FLAG];X[GV3_TEXT];MSW[PRC_QL2]; [NASDSTATUS];@F[GV4_TEXT],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];[GV2_TEXT];   [PRC_QL2]; [NASDSTATUS];@[LSTSALCOND];Block Trade[USER],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];X[GV2_TEXT];AGX[PRC_QL2];C[NASDSTATUS];@6 X[LSTSALCOND];Block Trade[USER],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];[GV2_TEXT];CLS[PRC_QL2];C[NASDSTATUS];@  M[LSTSALCOND],,NASDAQ,NASDAQUnknown2
ODT[IRGCOND];[GV3_FLAG];[GV3_TEXT];CLS[PRC_QL2];C[NASDSTATUS];@ TI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
132[IRGCOND];[GV3_FLAG];[GV3_TEXT];CLS[PRC_QL2];C[NASDSTATUS];@ T[GV4_TEXT],,NASDAQ,NASDAQUnknown2
SWT[IRGCOND];[GV3_FLAG];X[GV3_TEXT];CLS[PRC_QL2];C[NASDSTATUS];@FT[GV4_TEXT],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];CLS[PRC_QL2];C[NASDSTATUS];@FTI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
