,RIC,Date_Time,Price,Volume,Market_VWAP,Qualifiers,Ex_Cntrb_ID,TradeCategory,GMT_Offset,Type
62,1606.HK,2016-07-11 01:34:52.434419+00:00,1.98,4000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
63,1606.HK,2016-07-11 01:35:05.747176+00:00,1.98,4000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
64,1606.HK,2016-07-11 01:35:10.022441+00:00,1.98,4000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
65,1606.HK,2016-07-11 01:36:09.306904+00:00,1.98,4000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
66,1606.HK,2016-07-11 01:37:08.830501+00:00,1.98,2000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
67,1606.HK,2016-07-11 01:37:30.666641+00:00,1.98,4000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
68,1606.HK,2016-07-11 01:39:42.967411+00:00,1.98,4000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
69,1606.HK,2016-07-11 01:40:17.479351+00:00,1.98,18000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
70,1606.HK,2016-07-11 01:40:55.099494+00:00,1.98,6000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
71,1606.HK,2016-07-11 01:41:06.795212+00:00,1.98,2000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
72,1606.HK,2016-07-11 01:41:06.887684+00:00,1.98,20000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
73,1606.HK,2016-07-11 01:42:09.554857+00:00,1.98,4000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
74,1606.HK,2016-07-11 01:42:42.351428+00:00,1.98,2000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
75,1606.HK,2016-07-11 01:42:47.875049+00:00,1.99,14000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
76,1606.HK,2016-07-11 01:42:47.919756+00:00,1.98,8000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
77,1606.HK,2016-07-11 01:44:43.582851+00:00,1.98,2000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
78,1606.HK,2016-07-11 01:44:59.884723+00:00,1.98,2000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
79,1606.HK,2016-07-11 01:45:47.235513+00:00,1.98,4000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
80,1606.HK,2016-07-11 01:47:06.563318+00:00,1.98,2000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
81,1606.HK,2016-07-11 01:49:14.823591+00:00,1.98,2000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
82,1606.HK,2016-07-11 01:49:20.284387+00:00,1.98,2000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
83,1606.HK,2016-07-11 01:49:24.227608+00:00,1.98,4000,1.9989,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
84,1606.HK,2016-07-11 01:49:37.607892+00:00,1.98,86000,1.9987,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
85,1606.HK,2016-07-11 01:49:39.252111+00:00,1.98,6000,1.9986,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
86,1606.HK,2016-07-11 01:49:56.656585+00:00,1.97,2000,1.9986,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
87,1606.HK,2016-07-11 01:50:15.128680+00:00,1.97,2000,1.9983,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
88,1606.HK,2016-07-11 01:52:23.099516+00:00,1.96,6000,1.9983,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
89,1606.HK,2016-07-11 01:54:54.856541+00:00,1.97,6000,1.9983,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
90,1606.HK,2016-07-11 01:54:59.723832+00:00,1.96,6000,1.9981,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
91,1606.HK,2016-07-11 01:56:43.947673+00:00,1.96,2000,1.9981,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
92,1606.HK,2016-07-11 01:59:23.876124+00:00,1.96,8000,1.9981,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
93,1606.HK,2016-07-11 02:00:02.101047+00:00,1.95,2000,1.9981,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
94,1606.HK,2016-07-11 02:00:18.365015+00:00,1.97,2000,1.998,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
95,1606.HK,2016-07-11 02:07:57.025665+00:00,1.95,2000,1.998,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
96,1606.HK,2016-07-11 02:09:07.629177+00:00,1.95,2000,1.998,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
97,1606.HK,2016-07-11 02:11:15.620448+00:00,1.96,2000,1.998,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
98,1606.HK,2016-07-11 02:11:15.620622+00:00,1.96,2000,1.998,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
99,1606.HK,2016-07-11 02:12:32.072805+00:00,1.95,6000,1.998,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
100,1606.HK,2016-07-11 02:13:37.429162+00:00,1.96,2000,1.998,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
101,1606.HK,2016-07-11 02:13:48.441823+00:00,1.96,2000,1.9979,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
102,1606.HK,2016-07-11 02:14:45.712609+00:00,1.95,2000,1.9979,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
103,1606.HK,2016-07-11 02:20:50.686279+00:00,1.96,2000,1.9979,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
104,1606.HK,2016-07-11 02:22:15.957760+00:00,1.95,2000,1.9979,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
105,1606.HK,2016-07-11 02:23:10.981974+00:00,1.95,6000,1.9979,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
106,1606.HK,2016-07-11 02:23:53.562285+00:00,1.95,48000,1.9978,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
107,1606.HK,2016-07-11 02:24:26.005381+00:00,1.95,2000,1.9978,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
108,1606.HK,2016-07-11 02:25:21.697614+00:00,1.95,80000,1.9975,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
109,1606.HK,2016-07-11 02:25:45.785992+00:00,1.95,2000,1.9973,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
110,1606.HK,2016-07-11 02:26:03.890017+00:00,1.95,2000,1.9973,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
111,1606.HK,2016-07-11 02:26:38.866047+00:00,1.95,2000,1.9973,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
112,1606.HK,2016-07-11 02:29:38.973660+00:00,1.95,10000,1.9957,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
113,1606.HK,2016-07-11 02:34:13.118481+00:00,1.94,2000,1.9953,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
114,1606.HK,2016-07-11 02:37:19.554821+00:00,1.94,2000,1.9953,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
115,1606.HK,2016-07-11 02:38:54.995585+00:00,1.94,2000,1.9953,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
116,1606.HK,2016-07-11 02:41:15.854130+00:00,1.94,2000,1.9953,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
117,1606.HK,2016-07-11 02:44:59.127025+00:00,1.94,2000,1.9952,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
118,1606.HK,2016-07-11 02:46:21.414918+00:00,1.94,8000,1.9951,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
119,1606.HK,2016-07-11 02:46:21.414918+00:00,1.94,10000,1.9951,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
120,1606.HK,2016-07-11 02:46:21.458811+00:00,1.93,188000,1.9939,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
121,1606.HK,2016-07-11 02:49:13.751071+00:00,1.91,2000000,1.9912,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
122,1606.HK,2016-07-11 02:49:13.751071+00:00,1.91,20000,1.9912,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
123,1606.HK,2016-07-11 02:49:13.751147+00:00,1.9,300000,1.9893,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
124,1606.HK,2016-07-11 02:49:13.751840+00:00,1.9,2000,1.9845,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
125,1606.HK,2016-07-11 02:51:12.254976+00:00,1.9,8000,1.9844,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
126,1606.HK,2016-07-11 02:56:38.211838+00:00,1.9,10000,1.9842,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
127,1606.HK,2016-07-11 02:59:45.059517+00:00,1.9,28000,1.9842,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
128,1606.HK,2016-07-11 03:00:46.048072+00:00,1.9,10000,1.9842,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
129,1606.HK,2016-07-11 03:02:40.439744+00:00,1.9,20000,1.9842,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
130,1606.HK,2016-07-11 03:06:38.427571+00:00,1.9,20000,1.9841,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
131,1606.HK,2016-07-11 03:22:08.048626+00:00,1.89,42000,1.9837,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
132,1606.HK,2016-07-11 03:22:08.784777+00:00,1.9,12000,1.9836,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
133,1606.HK,2016-07-11 03:22:41.676571+00:00,1.89,36000,1.9836,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
134,1606.HK,2016-07-11 03:36:30.801849+00:00,1.9,4000,1.9829,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
135,1606.HK,2016-07-11 03:38:36.482100+00:00,1.9,20000,1.9828,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
136,1606.HK,2016-07-11 05:04:54.818424+00:00,1.89,10000,1.9809,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
137,1606.HK,2016-07-11 05:04:54.818489+00:00,1.89,10000,1.9808,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
138,1606.HK,2016-07-11 05:04:55.227283+00:00,1.89,20000,1.9808,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
139,1606.HK,2016-07-11 05:04:55.227283+00:00,1.89,2000,1.9808,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
140,1606.HK,2016-07-11 05:05:03.722805+00:00,1.89,10000,1.9805,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
141,1606.HK,2016-07-11 05:05:12.258243+00:00,1.89,2000,1.9805,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
142,1606.HK,2016-07-11 05:09:47.115203+00:00,1.89,8000,1.9804,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
143,1606.HK,2016-07-11 05:23:43.268218+00:00,1.88,6000,1.9796,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
144,1606.HK,2016-07-11 05:36:33.836671+00:00,1.88,8000,1.9796,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
145,1606.HK,2016-07-11 05:39:08.352658+00:00,1.88,16000,1.9796,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
146,1606.HK,2016-07-11 05:39:08.352805+00:00,1.88,2000,1.9792,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
147,1606.HK,2016-07-11 05:39:08.352805+00:00,1.88,10000,1.9791,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
148,1606.HK,2016-07-11 05:42:28.833297+00:00,1.88,18000,1.9785,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
149,1606.HK,2016-07-11 05:44:02.456801+00:00,1.88,20000,1.9782,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
150,1606.HK,2016-07-11 05:45:37.613266+00:00,1.88,10000,1.9782,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
151,1606.HK,2016-07-11 06:10:11.754229+00:00,1.88,14000,1.9773,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
152,1606.HK,2016-07-11 06:10:31.070395+00:00,1.88,20000,1.9772,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
153,1606.HK,2016-07-11 06:11:42.786289+00:00,1.88,4000,1.9772,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
154,1606.HK,2016-07-11 06:17:14.006526+00:00,1.88,10000,1.9771,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
155,1606.HK,2016-07-11 06:24:11.946892+00:00,1.87,82000,1.9764,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
156,1606.HK,2016-07-11 06:24:15.959147+00:00,1.87,48000,1.9763,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
157,1606.HK,2016-07-11 06:26:20.467468+00:00,1.86,6000,1.9753,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
158,1606.HK,2016-07-11 06:26:20.467468+00:00,1.86,100000,1.9752,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
159,1606.HK,2016-07-11 06:29:23.839984+00:00,1.86,10000,1.9745,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
160,1606.HK,2016-07-11 06:31:10.683318+00:00,1.85,1000000,1.9701,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
161,1606.HK,2016-07-11 06:31:10.683318+00:00,1.85,8000,1.9701,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
162,1606.HK,2016-07-11 06:31:41.184048+00:00,1.85,8000,1.97,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
163,1606.HK,2016-07-11 06:37:40.339862+00:00,1.85,500000,1.9692,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
164,1606.HK,2016-07-11 06:44:49.669472+00:00,1.86,140000,1.9676,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
165,1606.HK,2016-07-11 06:45:13.488196+00:00,1.86,52000,1.9675,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
166,1606.HK,2016-07-11 06:46:37.796997+00:00,1.85,22000,1.9671,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
